run_id,kind,weight_type,targeting,rng_seed,n,edges,seed_frac,seed_count,theta_mean,theta_sd,max_steps,final_adoption,steps_to_converge,xi_d_1,xi_a_1.5
132,random,uniform,degree,133230,100,292,0.03,3,0.45,0.1,50,0.04,1,0.6,0.7842478638346386
133,random,uniform,degree,134239,100,297,0.03,3,0.45,0.1,50,0.03,0,0.74,0.830808625754604
134,random,uniform,degree,135248,100,285,0.03,3,0.45,0.1,50,0.09,2,0.58,0.6615286914165498
135,random,uniform,degree,136257,100,269,0.03,3,0.45,0.1,50,0.05,1,0.7,0.7865832164548198
136,random,uniform,degree,137266,100,294,0.03,3,0.45,0.1,50,0.06,2,0.59,0.7288917571276212
137,random,uniform,degree,138275,100,291,0.03,3,0.45,0.1,50,0.04,1,0.69,0.7988358885089333
138,random,uniform,degree,139284,100,293,0.03,3,0.45,0.1,50,0.08,3,0.62,0.692969274260235
139,random,uniform,degree,140293,100,325,0.03,3,0.45,0.1,50,0.04,1,0.66,0.7935798601826288
140,random,uniform,degree,141302,100,297,0.03,3,0.45,0.1,50,0.03,0,0.69,0.8298487562733906
61,random,uniform,degree,61591,100,309,0.03,3,0.45,0.1,50,0.04,1,0.63,0.7789992175538246
62,random,uniform,degree,62600,100,300,0.03,3,0.45,0.1,50,0.05,1,0.66,0.7762038191191125
63,random,uniform,degree,63609,100,288,0.03,3,0.45,0.1,50,0.04,1,0.66,0.7947849338373001
64,random,uniform,degree,64618,100,288,0.03,3,0.45,0.1,50,0.04,1,0.67,0.7916652132692131
65,random,uniform,degree,65627,100,290,0.03,3,0.45,0.1,50,0.05,1,0.67,0.7646952081539738
66,random,uniform,degree,66636,100,329,0.03,3,0.45,0.1,50,0.04,1,0.65,0.7862867621078888
67,random,uniform,degree,67645,100,294,0.03,3,0.45,0.1,50,0.04,1,0.69,0.7980866757994172
68,random,uniform,degree,68654,100,314,0.03,3,0.45,0.1,50,0.05,1,0.6,0.7532416681387466
69,random,uniform,degree,69663,100,276,0.03,3,0.45,0.1,50,0.04,1,0.62,0.7895815834961808
70,random,uniform,degree,70672,100,318,0.03,3,0.45,0.1,50,0.03,0,0.67,0.8089187889289431
71,random,uniform,degree,71681,100,298,0.03,3,0.45,0.1,50,0.06,1,0.59,0.7167125477315338
72,random,uniform,degree,72690,100,302,0.03,3,0.45,0.1,50,0.03,0,0.65,0.8084151388963032
73,random,uniform,degree,73699,100,270,0.03,3,0.45,0.1,50,0.06,1,0.7,0.77545053991308
74,random,uniform,degree,74708,100,313,0.03,3,0.45,0.1,50,0.03,0,0.65,0.799446583089264
75,random,uniform,degree,75717,100,312,0.03,3,0.45,0.1,50,0.04,1,0.67,0.7763967472075195
76,random,uniform,degree,76726,100,300,0.03,3,0.45,0.1,50,0.05,1,0.61,0.7480335318681738
77,random,uniform,degree,77735,100,296,0.03,3,0.45,0.1,50,0.04,1,0.66,0.7882307468291443
78,random,uniform,degree,78744,100,275,0.03,3,0.45,0.1,50,0.04,1,0.67,0.8038641408150311
79,random,uniform,degree,79753,100,277,0.03,3,0.45,0.1,50,0.05,1,0.64,0.7779876380256231
80,random,uniform,degree,80762,100,296,0.03,3,0.45,0.1,50,0.04,1,0.67,0.7982349319595731
