run_id,kind,weight_type,targeting,rng_seed,n,edges,seed_frac,seed_count,theta_mean,theta_sd,max_steps,final_adoption,steps_to_converge,xi_d_1,xi_a_1.5
181,random,uniform,degree,182671,1000,3080,0.03,30,0.45,0.1,50,0.043,3,0.643,0.5704527728847492
182,random,uniform,degree,183680,1000,2932,0.03,30,0.45,0.1,50,0.054,3,0.633,0.5536048739120168
183,random,uniform,degree,184689,1000,3087,0.03,30,0.45,0.1,50,0.046,2,0.657,0.57830150523494
184,random,uniform,degree,185698,1000,2964,0.03,30,0.45,0.1,50,0.049,2,0.651,0.5663669141787652
185,random,uniform,degree,186707,1000,2985,0.03,30,0.45,0.1,50,0.048,3,0.633,0.5611701208197853
186,random,uniform,degree,187716,1000,2991,0.03,30,0.45,0.1,50,0.053,2,0.646,0.5493464608849493
187,random,uniform,degree,188725,1000,3068,0.03,30,0.45,0.1,50,0.042,2,0.667,0.6031991227963613
188,random,uniform,degree,189734,1000,2914,0.03,30,0.45,0.1,50,0.04,1,0.672,0.6200331199847795
189,random,uniform,degree,190743,1000,2977,0.03,30,0.45,0.1,50,0.044,2,0.658,0.5969162238984114
190,random,uniform,degree,191752,1000,2941,0.03,30,0.45,0.1,50,0.055,2,0.659,0.5416862409705471
191,random,uniform,degree,192761,1000,3002,0.03,30,0.45,0.1,50,0.05,2,0.648,0.5586995850851995
192,random,uniform,degree,193770,1000,3093,0.03,30,0.45,0.1,50,0.045,2,0.646,0.5819768968439865
193,random,uniform,degree,194779,1000,3037,0.03,30,0.45,0.1,50,0.051,2,0.651,0.5538769352049008
194,random,uniform,degree,195788,1000,3051,0.03,30,0.45,0.1,50,0.041,3,0.669,0.6048052278529635
195,random,uniform,degree,196797,1000,3014,0.03,30,0.45,0.1,50,0.047,2,0.641,0.5759660691837498
196,random,uniform,degree,197806,1000,3077,0.03,30,0.45,0.1,50,0.038,1,0.658,0.6018923992839524
197,random,uniform,degree,198815,1000,2996,0.03,30,0.45,0.1,50,0.043,3,0.646,0.592337863458271
198,random,uniform,degree,199824,1000,2937,0.03,30,0.45,0.1,50,0.047,2,0.668,0.5907706557355464
199,random,uniform,degree,200833,1000,2963,0.03,30,0.45,0.1,50,0.052,2,0.641,0.5578346682962263
200,random,uniform,degree,201842,1000,2924,0.03,30,0.45,0.1,50,0.042,2,0.659,0.6119027270866666
