run_id,kind,weight_type,rng_seed,n,edges,seed_frac,seed_count,theta_mean,theta_sd,max_steps,final_adoption,steps_to_converge,xi_1,xi_2,xi_3,xi_inf
8657,small_world,inv_degree,8734955,100,300,0.03,3,0.45,0.1,50,0.03,0,0.8150000000000001,0.4300000000000004,0.015000000000000005,0.0
8658,small_world,inv_degree,8735964,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7866666666666665,0.43666666666666665,0.22333333333333324,0.0
8659,small_world,inv_degree,8736973,100,300,0.03,3,0.45,0.1,50,0.03,0,0.81,0.47000000000000036,0.1000000000000001,0.0
8660,small_world,inv_degree,8737982,100,300,0.03,3,0.45,0.1,50,0.03,0,0.795,0.4450000000000003,0.07500000000000002,0.0
8661,small_world,inv_degree,8738991,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7750000000000002,0.35500000000000037,0.015000000000000005,0.0
8662,small_world,inv_degree,8740000,100,300,0.03,3,0.45,0.1,50,0.03,0,0.765,0.4850000000000003,0.13500000000000012,0.0
8663,small_world,inv_degree,8741009,100,300,0.03,3,0.45,0.1,50,0.03,0,0.8300000000000001,0.4100000000000004,0.03000000000000001,0.0
8664,small_world,inv_degree,8742018,100,300,0.03,3,0.45,0.1,50,0.03,0,0.855,0.5350000000000001,0.19500000000000026,0.0
8665,small_world,inv_degree,8743027,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7400000000000001,0.4450000000000002,0.07500000000000002,0.0
8666,small_world,inv_degree,8744036,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7700000000000001,0.4500000000000003,0.15500000000000017,0.0
8667,small_world,inv_degree,8745045,100,300,0.03,3,0.45,0.1,50,0.04,1,0.81,0.39000000000000035,0.09999999999999998,0.0
8668,small_world,inv_degree,8746054,100,300,0.03,3,0.45,0.1,50,0.05,1,0.7499999999999999,0.4399999999999996,0.2099999999999998,0.0
8669,small_world,inv_degree,8747063,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7333333333333332,0.32999999999999985,0.016666666666666663,0.0
8670,small_world,inv_degree,8748072,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7500000000000003,0.36000000000000054,0.015000000000000003,0.0
8671,small_world,inv_degree,8749081,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7374999999999997,0.29499999999999954,0.09499999999999988,0.0
8672,small_world,inv_degree,8750090,100,300,0.03,3,0.45,0.1,50,0.03,0,0.8000000000000002,0.5200000000000005,0.1950000000000002,0.0
8673,small_world,inv_degree,8751099,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7566666666666667,0.3799999999999997,0.03666666666666664,0.0
8674,small_world,inv_degree,8752108,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7566666666666665,0.38333333333333336,0.03333333333333333,0.0
8675,small_world,inv_degree,8753117,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7366666666666661,0.3633333333333331,0.06666666666666657,0.0
8676,small_world,inv_degree,8754126,100,300,0.03,3,0.45,0.1,50,0.04,1,0.8000000000000002,0.5550000000000003,0.23000000000000037,0.0
8677,small_world,inv_degree,8755135,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7750000000000002,0.40500000000000036,0.020000000000000035,0.0
8678,small_world,inv_degree,8756144,100,300,0.03,3,0.45,0.1,50,0.03,0,0.775,0.42500000000000027,0.07000000000000008,0.0
8679,small_world,inv_degree,8757153,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7950000000000002,0.4300000000000005,0.03000000000000001,0.0
