run_id,kind,weight_type,rng_seed,n,edges,seed_frac,seed_count,theta_mean,theta_sd,max_steps,alpha,final_adoption,steps_to_converge,xi
72,random,uniform,72690,100,254,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8321197200026214
73,random,uniform,73699,100,216,0.03,3,0.45,0.1,50,1.5,0.06,1,0.8022629754761397
74,random,uniform,74708,100,238,0.03,3,0.45,0.1,50,1.5,0.07,1,0.7714303673903874
75,random,uniform,75717,100,234,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8237555420473467
76,random,uniform,76726,100,251,0.03,3,0.45,0.1,50,1.5,0.07,1,0.7215647507080933
77,random,uniform,77735,100,246,0.03,3,0.45,0.1,50,1.5,0.06,1,0.7901417335295119
78,random,uniform,78744,100,232,0.03,3,0.45,0.1,50,1.5,0.09,3,0.6989717111217116
79,random,uniform,79753,100,235,0.03,3,0.45,0.1,50,1.5,0.06,1,0.7840779299413276
80,random,uniform,80762,100,250,0.03,3,0.45,0.1,50,1.5,0.07,2,0.7463873072615044
81,random,uniform,81771,100,244,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8149247849365561
82,random,uniform,82780,100,241,0.03,3,0.45,0.1,50,1.5,0.06,1,0.7769576997877694
83,random,uniform,83789,100,251,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8153125887812476
84,random,uniform,84798,100,247,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8333006206429837
85,random,uniform,85807,100,271,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8334297883390618
86,random,uniform,86816,100,246,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7959840850320973
87,random,uniform,87825,100,252,0.03,3,0.45,0.1,50,1.5,0.07,2,0.757094287888916
88,random,uniform,88834,100,238,0.03,3,0.45,0.1,50,1.5,0.07,3,0.7647811633747517
89,random,uniform,89843,100,235,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8298393271471616
90,random,uniform,90852,100,246,0.03,3,0.45,0.1,50,1.5,0.07,2,0.7476448315389284
91,random,uniform,91861,100,244,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7877433478269548
92,random,uniform,92870,100,237,0.03,3,0.45,0.1,50,1.5,0.05,1,0.8139273000300992
93,random,uniform,93879,100,229,0.03,3,0.45,0.1,50,1.5,0.07,1,0.7465372674379966
94,random,uniform,94888,100,236,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7985507487379985
95,random,uniform,95897,100,221,0.03,3,0.45,0.1,50,1.5,0.06,2,0.7583706151703689
96,random,uniform,96906,100,239,0.03,3,0.45,0.1,50,1.5,0.07,2,0.7434279736228513
97,random,uniform,97915,100,263,0.03,3,0.45,0.1,50,1.5,0.06,1,0.7407991264118773
98,random,uniform,98924,100,255,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7898451081834104
99,random,uniform,99933,100,270,0.03,3,0.45,0.1,50,1.5,0.07,2,0.7183960113881018
100,random,uniform,100942,100,252,0.03,3,0.45,0.1,50,1.5,0.06,1,0.7628358598433236
101,random,uniform,101951,100,241,0.03,3,0.45,0.1,50,1.5,0.11,3,0.6616952778347449
102,random,uniform,102960,100,245,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7892117562385071
103,random,uniform,103969,100,268,0.03,3,0.45,0.1,50,1.5,0.04,1,0.7953987380301119
104,random,uniform,104978,100,255,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7902085213337905
105,random,uniform,105987,100,220,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8434751859099046
106,random,uniform,106996,100,232,0.03,3,0.45,0.1,50,1.5,0.05,1,0.8045351098579288
107,random,uniform,108005,100,230,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8230096676013053
108,random,uniform,109014,100,243,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8397319233444542
109,random,uniform,110023,100,241,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8315024638207515
110,random,uniform,111032,100,284,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8031543766653239
111,random,uniform,112041,100,247,0.03,3,0.45,0.1,50,1.5,0.05,2,0.774285901050057
112,random,uniform,113050,100,273,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8316410833200334
113,random,uniform,114059,100,265,0.03,3,0.45,0.1,50,1.5,0.08,2,0.7168405305215493
114,random,uniform,115068,100,265,0.03,3,0.45,0.1,50,1.5,0.1,4,0.6274243222296634
115,random,uniform,116077,100,273,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8243603940940534
116,random,uniform,117086,100,249,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8386275879446876
117,random,uniform,118095,100,259,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8308941397545915
118,random,uniform,119104,100,268,0.03,3,0.45,0.1,50,1.5,0.05,2,0.7724472275467538
119,random,uniform,120113,100,265,0.03,3,0.45,0.1,50,1.5,0.08,3,0.707312738890725
120,random,uniform,121122,100,251,0.03,3,0.45,0.1,50,1.5,0.05,1,0.799391142372205
121,random,uniform,122131,100,255,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8107587894753935
122,random,uniform,123140,100,239,0.03,3,0.45,0.1,50,1.5,0.1,4,0.7063025407680878
123,random,uniform,124149,100,269,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8410768102648903
124,random,uniform,125158,100,231,0.03,3,0.45,0.1,50,1.5,0.05,1,0.815077282654175
125,random,uniform,126167,100,252,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8208339891109239
126,random,uniform,127176,100,237,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8390812137033233
127,random,uniform,128185,100,252,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8021114532191607
128,random,uniform,129194,100,254,0.03,3,0.45,0.1,50,1.5,0.06,3,0.7560649036732481
129,random,uniform,130203,100,273,0.03,3,0.45,0.1,50,1.5,0.04,1,0.814339924509311
130,random,uniform,131212,100,210,0.03,3,0.45,0.1,50,1.5,0.06,1,0.7703775607544769
131,random,uniform,132221,100,249,0.03,3,0.45,0.1,50,1.5,0.08,3,0.7366919538241307
132,random,uniform,133230,100,242,0.03,3,0.45,0.1,50,1.5,0.06,1,0.7434935907127344
133,random,uniform,134239,100,250,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8420037199106489
134,random,uniform,135248,100,238,0.03,3,0.45,0.1,50,1.5,0.11,3,0.6560487220403951
135,random,uniform,136257,100,216,0.03,3,0.45,0.1,50,1.5,0.09,2,0.7459829468998127
136,random,uniform,137266,100,244,0.03,3,0.45,0.1,50,1.5,0.07,1,0.7611678489768545
137,random,uniform,138275,100,237,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8529746950961158
