run_id,kind,weight_type,targeting,rng_seed,n,edges,seed_frac,seed_count,theta_mean,theta_sd,max_steps,final_adoption,steps_to_converge,xi_d_1,xi_a_1.5
1,random,uniform,degree,1051,500,1543,0.03,15,0.45,0.1,50,0.036,1,0.666,0.6770886917016864
2,random,uniform,degree,2060,500,1501,0.03,15,0.45,0.1,50,0.056,1,0.654,0.6219340796008094
3,random,uniform,degree,3069,500,1554,0.03,15,0.45,0.1,50,0.042,2,0.664,0.6589970019607206
4,random,uniform,degree,4078,500,1530,0.03,15,0.45,0.1,50,0.048,2,0.624,0.6266391804542282
5,random,uniform,degree,5087,500,1511,0.03,15,0.45,0.1,50,0.044,2,0.644,0.6450037631814357
6,random,uniform,degree,6096,500,1455,0.03,15,0.45,0.1,50,0.04,1,0.648,0.672552823955464
7,random,uniform,degree,7105,500,1551,0.03,15,0.45,0.1,50,0.046,2,0.654,0.6321748920726844
8,random,uniform,degree,8114,500,1538,0.03,15,0.45,0.1,50,0.044,2,0.638,0.638682991694004
9,random,uniform,degree,9123,500,1448,0.03,15,0.45,0.1,50,0.048,2,0.654,0.6525943187523647
10,random,uniform,degree,10132,500,1469,0.03,15,0.45,0.1,50,0.04,2,0.658,0.6692987180433012
11,random,uniform,degree,11141,500,1468,0.03,15,0.45,0.1,50,0.044,2,0.648,0.6504806176504594
12,random,uniform,degree,12150,500,1530,0.03,15,0.45,0.1,50,0.044,1,0.642,0.635614977720297
13,random,uniform,degree,13159,500,1537,0.03,15,0.45,0.1,50,0.05,2,0.648,0.6345361960295909
14,random,uniform,degree,14168,500,1495,0.03,15,0.45,0.1,50,0.05,1,0.662,0.6438872792537659
15,random,uniform,degree,15177,500,1523,0.03,15,0.45,0.1,50,0.052,3,0.644,0.6093732500613247
16,random,uniform,degree,16186,500,1445,0.03,15,0.45,0.1,50,0.054,2,0.624,0.6139875695524509
17,random,uniform,degree,17195,500,1447,0.03,15,0.45,0.1,50,0.064,3,0.61,0.5892305850767378
18,random,uniform,degree,18204,500,1521,0.03,15,0.45,0.1,50,0.036,1,0.66,0.6807575784378087
19,random,uniform,degree,19213,500,1452,0.03,15,0.45,0.1,50,0.046,1,0.654,0.652931278879829
20,random,uniform,degree,20222,500,1472,0.03,15,0.45,0.1,50,0.038,1,0.67,0.6851094104576251
41,random,uniform,degree,41411,500,1544,0.03,15,0.45,0.1,50,0.046,2,0.654,0.6362070644856233
42,random,uniform,degree,42420,500,1492,0.03,15,0.45,0.1,50,0.054,2,0.648,0.6116630205790442
43,random,uniform,degree,43429,500,1470,0.03,15,0.45,0.1,50,0.062,3,0.618,0.5851184251858966
44,random,uniform,degree,44438,500,1542,0.03,15,0.45,0.1,50,0.044,2,0.64,0.6217736907218996
45,random,uniform,degree,45447,500,1555,0.03,15,0.45,0.1,50,0.046,2,0.654,0.6245350600867186
46,random,uniform,degree,46456,500,1550,0.03,15,0.45,0.1,50,0.04,1,0.658,0.6593615474886191
47,random,uniform,degree,47465,500,1544,0.03,15,0.45,0.1,50,0.046,1,0.656,0.6405377347728908
48,random,uniform,degree,48474,500,1560,0.03,15,0.45,0.1,50,0.04,1,0.654,0.6460432022268732
49,random,uniform,degree,49483,500,1499,0.03,15,0.45,0.1,50,0.042,2,0.662,0.6612903216517289
50,random,uniform,degree,50492,500,1521,0.03,15,0.45,0.1,50,0.042,1,0.656,0.6612180290217099
51,random,uniform,degree,51501,500,1461,0.03,15,0.45,0.1,50,0.044,1,0.682,0.6721005987086327
52,random,uniform,degree,52510,500,1520,0.03,15,0.45,0.1,50,0.056,3,0.622,0.5935366681861133
53,random,uniform,degree,53519,500,1500,0.03,15,0.45,0.1,50,0.044,3,0.66,0.6546541097223516
54,random,uniform,degree,54528,500,1473,0.03,15,0.45,0.1,50,0.048,2,0.656,0.6479423701537548
55,random,uniform,degree,55537,500,1553,0.03,15,0.45,0.1,50,0.042,1,0.664,0.6498526859946534
56,random,uniform,degree,56546,500,1492,0.03,15,0.45,0.1,50,0.064,3,0.614,0.557283957113319
57,random,uniform,degree,57555,500,1497,0.03,15,0.45,0.1,50,0.038,1,0.66,0.6842482095897812
58,random,uniform,degree,58564,500,1493,0.03,15,0.45,0.1,50,0.044,2,0.644,0.6501766310127524
59,random,uniform,degree,59573,500,1464,0.03,15,0.45,0.1,50,0.042,2,0.642,0.6550872941471316
60,random,uniform,degree,60582,500,1560,0.03,15,0.45,0.1,50,0.044,2,0.642,0.643024372226711
81,random,uniform,degree,81771,500,1550,0.03,15,0.45,0.1,50,0.044,2,0.66,0.6383197971334607
82,random,uniform,degree,82780,500,1507,0.03,15,0.45,0.1,50,0.04,2,0.642,0.6621712477077377
83,random,uniform,degree,83789,500,1515,0.03,15,0.45,0.1,50,0.038,1,0.664,0.665771281707801
84,random,uniform,degree,84798,500,1539,0.03,15,0.45,0.1,50,0.046,1,0.636,0.6300014472134506
85,random,uniform,degree,85807,500,1479,0.03,15,0.45,0.1,50,0.04,2,0.678,0.664279522767214
86,random,uniform,degree,86816,500,1544,0.03,15,0.45,0.1,50,0.044,2,0.648,0.6398386038029761
87,random,uniform,degree,87825,500,1605,0.03,15,0.45,0.1,50,0.042,1,0.646,0.6574809448906155
88,random,uniform,degree,88834,500,1460,0.03,15,0.45,0.1,50,0.038,1,0.652,0.6906142662109156
89,random,uniform,degree,89843,500,1568,0.03,15,0.45,0.1,50,0.052,3,0.644,0.6050674840118229
90,random,uniform,degree,90852,500,1479,0.03,15,0.45,0.1,50,0.056,3,0.624,0.5933582271894146
91,random,uniform,degree,91861,500,1505,0.03,15,0.45,0.1,50,0.044,1,0.65,0.6557474996135779
92,random,uniform,degree,92870,500,1525,0.03,15,0.45,0.1,50,0.05,1,0.642,0.6421336586365931
93,random,uniform,degree,93879,500,1502,0.03,15,0.45,0.1,50,0.042,2,0.664,0.6611353204113152
94,random,uniform,degree,94888,500,1550,0.03,15,0.45,0.1,50,0.042,1,0.638,0.6423754674951756
95,random,uniform,degree,95897,500,1459,0.03,15,0.45,0.1,50,0.06,3,0.624,0.5914856030484119
96,random,uniform,degree,96906,500,1585,0.03,15,0.45,0.1,50,0.032,1,0.642,0.6791549364222489
97,random,uniform,degree,97915,500,1467,0.03,15,0.45,0.1,50,0.056,2,0.672,0.6319444363074755
98,random,uniform,degree,98924,500,1509,0.03,15,0.45,0.1,50,0.044,1,0.642,0.6457515527215781
99,random,uniform,degree,99933,500,1576,0.03,15,0.45,0.1,50,0.048,1,0.63,0.5945598369691161
100,random,uniform,degree,100942,500,1568,0.03,15,0.45,0.1,50,0.054,2,0.622,0.5882560225160245
21,random,uniform,degree,21231,500,1553,0.03,15,0.45,0.1,50,0.044,2,0.64,0.6419637667842593
22,random,uniform,degree,22240,500,1532,0.03,15,0.45,0.1,50,0.04,2,0.656,0.6621122729154852
23,random,uniform,degree,23249,500,1509,0.03,15,0.45,0.1,50,0.056,5,0.62,0.6005672035566242
24,random,uniform,degree,24258,500,1555,0.03,15,0.45,0.1,50,0.044,1,0.646,0.6350864052352625
25,random,uniform,degree,25267,500,1538,0.03,15,0.45,0.1,50,0.05,3,0.628,0.6113663897223114
26,random,uniform,degree,26276,500,1475,0.03,15,0.45,0.1,50,0.056,3,0.632,0.6002484102059894
27,random,uniform,degree,27285,500,1498,0.03,15,0.45,0.1,50,0.048,2,0.62,0.6317429646357282
28,random,uniform,degree,28294,500,1488,0.03,15,0.45,0.1,50,0.046,2,0.678,0.6375403992004893
29,random,uniform,degree,29303,500,1552,0.03,15,0.45,0.1,50,0.036,1,0.662,0.6689257644495582
30,random,uniform,degree,30312,500,1534,0.03,15,0.45,0.1,50,0.052,2,0.634,0.6040290572228714
31,random,uniform,degree,31321,500,1495,0.03,15,0.45,0.1,50,0.04,2,0.672,0.6739166871318836
32,random,uniform,degree,32330,500,1494,0.03,15,0.45,0.1,50,0.054,2,0.64,0.6249073744158947
33,random,uniform,degree,33339,500,1547,0.03,15,0.45,0.1,50,0.044,1,0.644,0.6465736263963141
34,random,uniform,degree,34348,500,1528,0.03,15,0.45,0.1,50,0.046,2,0.618,0.6352908870365492
35,random,uniform,degree,35357,500,1522,0.03,15,0.45,0.1,50,0.042,1,0.672,0.6791584858660794
36,random,uniform,degree,36366,500,1497,0.03,15,0.45,0.1,50,0.052,2,0.642,0.6190812334196241
37,random,uniform,degree,37375,500,1501,0.03,15,0.45,0.1,50,0.046,1,0.658,0.6531789878502648
38,random,uniform,degree,38384,500,1470,0.03,15,0.45,0.1,50,0.046,2,0.634,0.6508471438809192
39,random,uniform,degree,39393,500,1520,0.03,15,0.45,0.1,50,0.048,3,0.642,0.6176016255977882
40,random,uniform,degree,40402,500,1455,0.03,15,0.45,0.1,50,0.046,3,0.636,0.6336799441321495
121,random,uniform,degree,122131,500,1469,0.03,15,0.45,0.1,50,0.052,2,0.642,0.626142534297031
122,random,uniform,degree,123140,500,1477,0.03,15,0.45,0.1,50,0.044,1,0.674,0.663646578225309
123,random,uniform,degree,124149,500,1557,0.03,15,0.45,0.1,50,0.036,1,0.664,0.6755001023104467
124,random,uniform,degree,125158,500,1498,0.03,15,0.45,0.1,50,0.036,2,0.638,0.678728008718682
125,random,uniform,degree,126167,500,1475,0.03,15,0.45,0.1,50,0.056,2,0.646,0.6155004286357374
126,random,uniform,degree,127176,500,1497,0.03,15,0.45,0.1,50,0.048,3,0.654,0.6532070232869122
127,random,uniform,degree,128185,500,1498,0.03,15,0.45,0.1,50,0.05,2,0.638,0.6318278140912622
128,random,uniform,degree,129194,500,1463,0.03,15,0.45,0.1,50,0.046,1,0.646,0.6518759087725073
129,random,uniform,degree,130203,500,1547,0.03,15,0.45,0.1,50,0.044,3,0.67,0.6532169837460637
130,random,uniform,degree,131212,500,1557,0.03,15,0.45,0.1,50,0.04,2,0.656,0.6610187397506738
131,random,uniform,degree,132221,500,1555,0.03,15,0.45,0.1,50,0.048,2,0.65,0.6105194311160558
132,random,uniform,degree,133230,500,1513,0.03,15,0.45,0.1,50,0.042,2,0.65,0.655611072027397
133,random,uniform,degree,134239,500,1483,0.03,15,0.45,0.1,50,0.05,1,0.656,0.6166145779821753
134,random,uniform,degree,135248,500,1541,0.03,15,0.45,0.1,50,0.05,2,0.642,0.6106578663057839
135,random,uniform,degree,136257,500,1431,0.03,15,0.45,0.1,50,0.05,2,0.666,0.6556718473061534
136,random,uniform,degree,137266,500,1497,0.03,15,0.45,0.1,50,0.054,3,0.622,0.6033012280438098
