kind,theta_mean,theta_sd,mean_final_adoption,sd_final_adoption,mean_xi_d_1,sd_xi_d_1,mean_xi_a_1.5,sd_xi_a_1.5
random,0.3,0.05,0.69184,0.421093260375815,0.19478,0.2704845901590579,0.21945336646553068,0.30573749907023806
random,0.3,0.1,0.94664,0.20948172472316764,0.03209,0.12753822132168027,0.036856947739976505,0.14707494124759793
random,0.3,0.15,0.99704,0.04738019927441508,0.0017,0.028933495245945434,0.0018984549706127381,0.03280642334818143
random,0.45,0.05,0.04789,0.014157978257800383,0.68611,0.03088238367778013,0.7975518605514778,0.03276507213241051
random,0.45,0.1,0.05583,0.020206915138620725,0.66849,0.04058900549862446,0.7760929890594579,0.04796981553133172
random,0.45,0.15,0.08323,0.04752394791708308,0.61048,0.08087094478061765,0.7052587632447591,0.09633417733729503
random,0.6,0.05,0.03381,0.0061824042347716265,0.70143,0.02663013826971733,0.8295355771135954,0.01497007902791613
random,0.6,0.1,0.03623,0.008084086370917402,0.7007099999999999,0.02933353637658364,0.8247687121655954,0.01884620427933557
random,0.6,0.15,0.03966,0.010049148490563039,0.69221,0.029767465495100537,0.8150015230863236,0.025322105250034335
scale_free,0.3,0.05,1.0,0.0,0.0,0.0,0.0,0.0
scale_free,0.3,0.1,1.0,0.0,0.0,0.0,0.0,0.0
scale_free,0.3,0.15,0.99995,0.0011396485417876868,0.0,0.0,0.0,0.0
scale_free,0.45,0.05,0.09552000000000001,0.04902379965825714,0.38541,0.06664588189508466,0.51346092882474,0.12075678515743386
scale_free,0.45,0.1,0.14512,0.11910319547002578,0.34793,0.0876898204160814,0.4168872168965729,0.15199870009686461
scale_free,0.45,0.15,0.33734000000000003,0.29649795182333966,0.2359,0.1356974716190534,0.23173161853520485,0.1716649643563248
scale_free,0.6,0.05,0.05519,0.016936668820956225,0.41577,0.05735936887028306,0.6321059967681798,0.06709833591687239
scale_free,0.6,0.1,0.05697,0.01823874315164704,0.4139,0.05683502635013219,0.6260841310020374,0.07222582304483524
scale_free,0.6,0.15,0.06779,0.02344708224205446,0.40088,0.057502453270553006,0.589941497315913,0.08556341646223163
small_world,0.3,0.05,0.66026,0.45426632088488605,0.25562,0.3447579929075955,0.30034294701026565,0.4076305982711024
small_world,0.3,0.1,0.8423,0.3192657836985364,0.11028,0.23312715386644658,0.1212506734117751,0.2646232029659611
small_world,0.3,0.15,0.93877,0.15866935136649127,0.03165,0.09812240063056706,0.030806154309788083,0.10196290731197849
small_world,0.45,0.05,0.03405,0.016810118383880586,0.75907,0.027279649544656545,0.8738632395095801,0.025270582253821523
small_world,0.45,0.1,0.03961,0.023265622475858866,0.75174,0.03259194125293299,0.862269171424394,0.040008168748470345
small_world,0.45,0.15,0.06551,0.0476320134857714,0.71227,0.06369933048866923,0.8105765214464558,0.08222961899551066
small_world,0.6,0.05,0.030039999999999997,0.0007739502561528094,0.76186,0.029154594670315538,0.8806146180915159,0.0074954937236952
small_world,0.6,0.1,0.03043,0.0025142437076428018,0.76054,0.03061119804002199,0.8795966766653618,0.008726824789484661
small_world,0.6,0.15,0.03206,0.006603029607687672,0.75679,0.030054936353271486,0.8754433198836852,0.015206450605441835
