run_id,kind,weight_type,targeting,rng_seed,n,edges,seed_frac,seed_count,theta_mean,theta_sd,max_steps,final_adoption,steps_to_converge,xi_d_1,xi_a_1.5
20707,small_world,uniform,degree,20893405,100,300,0.03,3,0.3,0.15,50,1.0,9,0.0,0.0
20708,small_world,uniform,degree,20894414,100,300,0.03,3,0.3,0.15,50,1.0,39,0.0,0.0
20709,small_world,uniform,degree,20895423,100,300,0.03,3,0.3,0.15,50,1.0,24,0.0,0.0
20710,small_world,uniform,degree,20896432,100,300,0.03,3,0.3,0.15,50,1.0,11,0.0,0.0
20711,small_world,uniform,degree,20897441,100,300,0.03,3,0.3,0.15,50,1.0,14,0.0,0.0
20712,small_world,uniform,degree,20898450,100,300,0.03,3,0.3,0.15,50,1.0,11,0.0,0.0
20713,small_world,uniform,degree,20899459,100,300,0.03,3,0.3,0.15,50,1.0,15,0.0,0.0
20714,small_world,uniform,degree,20900468,100,300,0.03,3,0.3,0.15,50,1.0,9,0.0,0.0
20715,small_world,uniform,degree,20901477,100,300,0.03,3,0.3,0.15,50,1.0,12,0.0,0.0
20716,small_world,uniform,degree,20902486,100,300,0.03,3,0.3,0.15,50,1.0,10,0.0,0.0
20717,small_world,uniform,degree,20903495,100,300,0.03,3,0.3,0.15,50,1.0,11,0.0,0.0
20718,small_world,uniform,degree,20904504,100,300,0.03,3,0.3,0.15,50,0.83,12,0.06,0.03925118224785899
20719,small_world,uniform,degree,20905513,100,300,0.03,3,0.3,0.15,50,1.0,23,0.0,0.0
20720,small_world,uniform,degree,20906522,100,300,0.03,3,0.3,0.15,50,1.0,10,0.0,0.0
20721,small_world,uniform,degree,20907531,100,300,0.03,3,0.3,0.15,50,1.0,20,0.0,0.0
20722,small_world,uniform,degree,20908540,100,300,0.03,3,0.3,0.15,50,1.0,9,0.0,0.0
20723,small_world,uniform,degree,20909549,100,300,0.03,3,0.3,0.15,50,1.0,9,0.0,0.0
20724,small_world,uniform,degree,20910558,100,300,0.03,3,0.3,0.15,50,1.0,17,0.0,0.0
20725,small_world,uniform,degree,20911567,100,300,0.03,3,0.3,0.15,50,1.0,11,0.0,0.0
20726,small_world,uniform,degree,20912576,100,300,0.03,3,0.3,0.15,50,1.0,12,0.0,0.0
20727,small_world,uniform,degree,20913585,100,300,0.03,3,0.3,0.15,50,1.0,14,0.0,0.0
20728,small_world,uniform,degree,20914594,100,300,0.03,3,0.3,0.15,50,0.91,9,0.02,0.012293043064039045
20729,small_world,uniform,degree,20915603,100,300,0.03,3,0.3,0.15,50,1.0,27,0.0,0.0
20730,small_world,uniform,degree,20916612,100,300,0.03,3,0.3,0.15,50,1.0,18,0.0,0.0
20731,small_world,uniform,degree,20917621,100,300,0.03,3,0.3,0.15,50,0.89,14,0.03,0.030396864183605637
20732,small_world,uniform,degree,20918630,100,300,0.03,3,0.3,0.15,50,1.0,11,0.0,0.0
20733,small_world,uniform,degree,20919639,100,300,0.03,3,0.3,0.15,50,0.7,16,0.08,0.06676564934672509
20734,small_world,uniform,degree,20920648,100,300,0.03,3,0.3,0.15,50,1.0,20,0.0,0.0
20735,small_world,uniform,degree,20921657,100,300,0.03,3,0.3,0.15,50,1.0,19,0.0,0.0
20736,small_world,uniform,degree,20922666,100,300,0.03,3,0.3,0.15,50,0.86,10,0.07,0.05795888883783212
20737,small_world,uniform,degree,20923675,100,300,0.03,3,0.3,0.15,50,1.0,16,0.0,0.0
20738,small_world,uniform,degree,20924684,100,300,0.03,3,0.3,0.15,50,1.0,9,0.0,0.0
20739,small_world,uniform,degree,20925693,100,300,0.03,3,0.3,0.15,50,1.0,19,0.0,0.0
20740,small_world,uniform,degree,20926702,100,300,0.03,3,0.3,0.15,50,1.0,11,0.0,0.0
20741,small_world,uniform,degree,20927711,100,300,0.03,3,0.3,0.15,50,1.0,15,0.0,0.0
20742,small_world,uniform,degree,20928720,100,300,0.03,3,0.3,0.15,50,1.0,9,0.0,0.0
20743,small_world,uniform,degree,20929729,100,300,0.03,3,0.3,0.15,50,1.0,12,0.0,0.0
20744,small_world,uniform,degree,20930738,100,300,0.03,3,0.3,0.15,50,0.85,14,0.07,0.07363657200424936
20745,small_world,uniform,degree,20931747,100,300,0.03,3,0.3,0.15,50,1.0,11,0.0,0.0
20746,small_world,uniform,degree,20932756,100,300,0.03,3,0.3,0.15,50,1.0,12,0.0,0.0
20747,small_world,uniform,degree,20933765,100,300,0.03,3,0.3,0.15,50,1.0,15,0.0,0.0
20748,small_world,uniform,degree,20934774,100,300,0.03,3,0.3,0.15,50,0.93,30,0.01,0.0028261841905989804
20749,small_world,uniform,degree,20935783,100,300,0.03,3,0.3,0.15,50,1.0,22,0.0,0.0
20750,small_world,uniform,degree,20936792,100,300,0.03,3,0.3,0.15,50,1.0,19,0.0,0.0
20751,small_world,uniform,degree,20937801,100,300,0.03,3,0.3,0.15,50,0.85,15,0.07,0.062417243239607345
20752,small_world,uniform,degree,20938810,100,300,0.03,3,0.3,0.15,50,1.0,12,0.0,0.0
20753,small_world,uniform,degree,20939819,100,300,0.03,3,0.3,0.15,50,1.0,11,0.0,0.0
20754,small_world,uniform,degree,20940828,100,300,0.03,3,0.3,0.15,50,1.0,18,0.0,0.0
20755,small_world,uniform,degree,20941837,100,300,0.03,3,0.3,0.15,50,0.39,5,0.43,0.39249927220992836
20756,small_world,uniform,degree,20942846,100,300,0.03,3,0.3,0.15,50,1.0,17,0.0,0.0
20757,small_world,uniform,degree,20943855,100,300,0.03,3,0.3,0.15,50,1.0,25,0.0,0.0
20758,small_world,uniform,degree,20944864,100,300,0.03,3,0.3,0.15,50,1.0,14,0.0,0.0
20759,small_world,uniform,degree,20945873,100,300,0.03,3,0.3,0.15,50,0.65,12,0.21,0.16989519590143445
20760,small_world,uniform,degree,20946882,100,300,0.03,3,0.3,0.15,50,1.0,20,0.0,0.0
20761,small_world,uniform,degree,20947891,100,300,0.03,3,0.3,0.15,50,1.0,10,0.0,0.0
20762,small_world,uniform,degree,20948900,100,300,0.03,3,0.3,0.15,50,1.0,14,0.0,0.0
20763,small_world,uniform,degree,20949909,100,300,0.03,3,0.3,0.15,50,1.0,19,0.0,0.0
20764,small_world,uniform,degree,20950918,100,300,0.03,3,0.3,0.15,50,1.0,17,0.0,0.0
20765,small_world,uniform,degree,20951927,100,300,0.03,3,0.3,0.15,50,1.0,11,0.0,0.0
20766,small_world,uniform,degree,20952936,100,300,0.03,3,0.3,0.15,50,1.0,23,0.0,0.0
20767,small_world,uniform,degree,20953945,100,300,0.03,3,0.3,0.15,50,1.0,11,0.0,0.0
20768,small_world,uniform,degree,20954954,100,300,0.03,3,0.3,0.15,50,0.47,10,0.24,0.24837376056815175
20769,small_world,uniform,degree,20955963,100,300,0.03,3,0.3,0.15,50,1.0,13,0.0,0.0
20770,small_world,uniform,degree,20956972,100,300,0.03,3,0.3,0.15,50,0.6,10,0.2,0.19269850541702124
20771,small_world,uniform,degree,20957981,100,300,0.03,3,0.3,0.15,50,1.0,18,0.0,0.0
20772,small_world,uniform,degree,20958990,100,300,0.03,3,0.3,0.15,50,1.0,9,0.0,0.0
20773,small_world,uniform,degree,20959999,100,300,0.03,3,0.3,0.15,50,1.0,26,0.0,0.0
20774,small_world,uniform,degree,20961008,100,300,0.03,3,0.3,0.15,50,1.0,20,0.0,0.0
20775,small_world,uniform,degree,20962017,100,300,0.03,3,0.3,0.15,50,0.82,11,0.11,0.09195682866677701
20776,small_world,uniform,degree,20963026,100,300,0.03,3,0.3,0.15,50,0.43,8,0.27,0.3149775795572825
20777,small_world,uniform,degree,20964035,100,300,0.03,3,0.3,0.15,50,1.0,19,0.0,0.0
20778,small_world,uniform,degree,20965044,100,300,0.03,3,0.3,0.15,50,1.0,13,0.0,0.0
20779,small_world,uniform,degree,20966053,100,300,0.03,3,0.3,0.15,50,1.0,19,0.0,0.0
20780,small_world,uniform,degree,20967062,100,300,0.03,3,0.3,0.15,50,0.6,8,0.26,0.21967216705209314
20781,small_world,uniform,degree,20968071,100,300,0.03,3,0.3,0.15,50,1.0,21,0.0,0.0
20782,small_world,uniform,degree,20969080,100,300,0.03,3,0.3,0.15,50,1.0,8,0.0,0.0
20783,small_world,uniform,degree,20970089,100,300,0.03,3,0.3,0.15,50,1.0,14,0.0,0.0
20784,small_world,uniform,degree,20971098,100,300,0.03,3,0.3,0.15,50,1.0,9,0.0,0.0
20785,small_world,uniform,degree,20972107,100,300,0.03,3,0.3,0.15,50,1.0,33,0.0,0.0
20786,small_world,uniform,degree,20973116,100,300,0.03,3,0.3,0.15,50,1.0,38,0.0,0.0
20787,small_world,uniform,degree,20974125,100,300,0.03,3,0.3,0.15,50,1.0,14,0.0,0.0
20788,small_world,uniform,degree,20975134,100,300,0.03,3,0.3,0.15,50,1.0,24,0.0,0.0
20789,small_world,uniform,degree,20976143,100,300,0.03,3,0.3,0.15,50,0.85,16,0.08,0.06951616832789739
20790,small_world,uniform,degree,20977152,100,300,0.03,3,0.3,0.15,50,1.0,13,0.0,0.0
20791,small_world,uniform,degree,20978161,100,300,0.03,3,0.3,0.15,50,0.67,8,0.19,0.1388129618683166
20792,small_world,uniform,degree,20979170,100,300,0.03,3,0.3,0.15,50,1.0,24,0.0,0.0
20793,small_world,uniform,degree,20980179,100,300,0.03,3,0.3,0.15,50,1.0,9,0.0,0.0
20794,small_world,uniform,degree,20981188,100,300,0.03,3,0.3,0.15,50,1.0,23,0.0,0.0
20795,small_world,uniform,degree,20982197,100,300,0.03,3,0.3,0.15,50,1.0,28,0.0,0.0
20796,small_world,uniform,degree,20983206,100,300,0.03,3,0.3,0.15,50,1.0,19,0.0,0.0
20797,small_world,uniform,degree,20984215,100,300,0.03,3,0.3,0.15,50,1.0,13,0.0,0.0
20798,small_world,uniform,degree,20985224,100,300,0.03,3,0.3,0.15,50,0.83,17,0.06,0.04784715978932191
20799,small_world,uniform,degree,20986233,100,300,0.03,3,0.3,0.15,50,1.0,12,0.0,0.0
20800,small_world,uniform,degree,20987242,100,300,0.03,3,0.3,0.15,50,1.0,11,0.0,0.0
20801,small_world,uniform,degree,20988251,100,300,0.03,3,0.3,0.15,50,1.0,14,0.0,0.0
20802,small_world,uniform,degree,20989260,100,300,0.03,3,0.3,0.15,50,0.85,12,0.07,0.04653482088060676
20803,small_world,uniform,degree,20990269,100,300,0.03,3,0.3,0.15,50,1.0,8,0.0,0.0
20804,small_world,uniform,degree,20991278,100,300,0.03,3,0.3,0.15,50,1.0,23,0.0,0.0
20805,small_world,uniform,degree,20992287,100,300,0.03,3,0.3,0.15,50,1.0,16,0.0,0.0
20806,small_world,uniform,degree,20993296,100,300,0.03,3,0.3,0.15,50,0.95,15,0.0,0.0
20807,small_world,uniform,degree,20994305,100,300,0.03,3,0.3,0.15,50,1.0,17,0.0,0.0
20808,small_world,uniform,degree,20995314,100,300,0.03,3,0.3,0.15,50,0.91,28,0.04,0.0266647147276399
20809,small_world,uniform,degree,20996323,100,300,0.03,3,0.3,0.15,50,1.0,12,0.0,0.0
20810,small_world,uniform,degree,20997332,100,300,0.03,3,0.3,0.15,50,1.0,17,0.0,0.0
20811,small_world,uniform,degree,20998341,100,300,0.03,3,0.3,0.15,50,1.0,15,0.0,0.0
20812,small_world,uniform,degree,20999350,100,300,0.03,3,0.3,0.15,50,0.87,16,0.06,0.04861062740740039
20813,small_world,uniform,degree,21000359,100,300,0.03,3,0.3,0.15,50,0.91,15,0.03,0.018814438016926296
20814,small_world,uniform,degree,21001368,100,300,0.03,3,0.3,0.15,50,1.0,18,0.0,0.0
20815,small_world,uniform,degree,21002377,100,300,0.03,3,0.3,0.15,50,1.0,19,0.0,0.0
20816,small_world,uniform,degree,21003386,100,300,0.03,3,0.3,0.15,50,1.0,14,0.0,0.0
20817,small_world,uniform,degree,21004395,100,300,0.03,3,0.3,0.15,50,0.79,15,0.1,0.07835769025630068
20818,small_world,uniform,degree,21005404,100,300,0.03,3,0.3,0.15,50,1.0,14,0.0,0.0
20819,small_world,uniform,degree,21006413,100,300,0.03,3,0.3,0.15,50,1.0,14,0.0,0.0
20820,small_world,uniform,degree,21007422,100,300,0.03,3,0.3,0.15,50,1.0,12,0.0,0.0
20821,small_world,uniform,degree,21008431,100,300,0.03,3,0.3,0.15,50,1.0,14,0.0,0.0
20822,small_world,uniform,degree,21009440,100,300,0.03,3,0.3,0.15,50,0.29,5,0.33,0.3908163347053666
20823,small_world,uniform,degree,21010449,100,300,0.03,3,0.3,0.15,50,1.0,17,0.0,0.0
20824,small_world,uniform,degree,21011458,100,300,0.03,3,0.3,0.15,50,1.0,12,0.0,0.0
20825,small_world,uniform,degree,21012467,100,300,0.03,3,0.3,0.15,50,1.0,13,0.0,0.0
20826,small_world,uniform,degree,21013476,100,300,0.03,3,0.3,0.15,50,1.0,29,0.0,0.0
20827,small_world,uniform,degree,21014485,100,300,0.03,3,0.3,0.15,50,1.0,24,0.0,0.0
20828,small_world,uniform,degree,21015494,100,300,0.03,3,0.3,0.15,50,1.0,13,0.0,0.0
20829,small_world,uniform,degree,21016503,100,300,0.03,3,0.3,0.15,50,1.0,18,0.0,0.0
20830,small_world,uniform,degree,21017512,100,300,0.03,3,0.3,0.15,50,1.0,19,0.0,0.0
20831,small_world,uniform,degree,21018521,100,300,0.03,3,0.3,0.15,50,1.0,15,0.0,0.0
20832,small_world,uniform,degree,21019530,100,300,0.03,3,0.3,0.15,50,0.8,16,0.11,0.07761407382735575
20833,small_world,uniform,degree,21020539,100,300,0.03,3,0.3,0.15,50,1.0,12,0.0,0.0
20834,small_world,uniform,degree,21021548,100,300,0.03,3,0.3,0.15,50,1.0,17,0.0,0.0
20835,small_world,uniform,degree,21022557,100,300,0.03,3,0.3,0.15,50,1.0,16,0.0,0.0
20836,small_world,uniform,degree,21023566,100,300,0.03,3,0.3,0.15,50,1.0,12,0.0,0.0
20837,small_world,uniform,degree,21024575,100,300,0.03,3,0.3,0.15,50,0.93,20,0.01,0.012932530234153673
20838,small_world,uniform,degree,21025584,100,300,0.03,3,0.3,0.15,50,0.94,11,0.0,0.0006011053197379446
20839,small_world,uniform,degree,21026593,100,300,0.03,3,0.3,0.15,50,1.0,15,0.0,0.0
20840,small_world,uniform,degree,21027602,100,300,0.03,3,0.3,0.15,50,1.0,12,0.0,0.0
20841,small_world,uniform,degree,21028611,100,300,0.03,3,0.3,0.15,50,1.0,14,0.0,0.0
20842,small_world,uniform,degree,21029620,100,300,0.03,3,0.3,0.15,50,0.85,13,0.04,0.019750757577034275
20843,small_world,uniform,degree,21030629,100,300,0.03,3,0.3,0.15,50,1.0,18,0.0,0.0
20844,small_world,uniform,degree,21031638,100,300,0.03,3,0.3,0.15,50,1.0,10,0.0,0.0
20845,small_world,uniform,degree,21032647,100,300,0.03,3,0.3,0.15,50,0.62,17,0.19,0.13972450177731122
20846,small_world,uniform,degree,21033656,100,300,0.03,3,0.3,0.15,50,1.0,13,0.0,0.0
20847,small_world,uniform,degree,21034665,100,300,0.03,3,0.3,0.15,50,1.0,11,0.0,0.0
20848,small_world,uniform,degree,21035674,100,300,0.03,3,0.3,0.15,50,1.0,11,0.0,0.0
20849,small_world,uniform,degree,21036683,100,300,0.03,3,0.3,0.15,50,1.0,23,0.0,0.0
20850,small_world,uniform,degree,21037692,100,300,0.03,3,0.3,0.15,50,1.0,9,0.0,0.0
20851,small_world,uniform,degree,21038701,100,300,0.03,3,0.3,0.15,50,1.0,13,0.0,0.0
20852,small_world,uniform,degree,21039710,100,300,0.03,3,0.3,0.15,50,1.0,14,0.0,0.0
20853,small_world,uniform,degree,21040719,100,300,0.03,3,0.3,0.15,50,1.0,12,0.0,0.0
20854,small_world,uniform,degree,21041728,100,300,0.03,3,0.3,0.15,50,1.0,16,0.0,0.0
20855,small_world,uniform,degree,21042737,100,300,0.03,3,0.3,0.15,50,1.0,12,0.0,0.0
20856,small_world,uniform,degree,21043746,100,300,0.03,3,0.3,0.15,50,1.0,15,0.0,0.0
20857,small_world,uniform,degree,21044755,100,300,0.03,3,0.3,0.15,50,1.0,12,0.0,0.0
20858,small_world,uniform,degree,21045764,100,300,0.03,3,0.3,0.15,50,1.0,12,0.0,0.0
20859,small_world,uniform,degree,21046773,100,300,0.03,3,0.3,0.15,50,1.0,9,0.0,0.0
20860,small_world,uniform,degree,21047782,100,300,0.03,3,0.3,0.15,50,1.0,10,0.0,0.0
20861,small_world,uniform,degree,21048791,100,300,0.03,3,0.3,0.15,50,1.0,18,0.0,0.0
20862,small_world,uniform,degree,21049800,100,300,0.03,3,0.3,0.15,50,0.87,15,0.04,0.039801522298622674
20863,small_world,uniform,degree,21050809,100,300,0.03,3,0.3,0.15,50,1.0,7,0.0,0.0
20864,small_world,uniform,degree,21051818,100,300,0.03,3,0.3,0.15,50,1.0,11,0.0,0.0
20865,small_world,uniform,degree,21052827,100,300,0.03,3,0.3,0.15,50,1.0,9,0.0,0.0
20866,small_world,uniform,degree,21053836,100,300,0.03,3,0.3,0.15,50,0.53,12,0.22,0.24894240706478143
20867,small_world,uniform,degree,21054845,100,300,0.03,3,0.3,0.15,50,1.0,15,0.0,0.0
20868,small_world,uniform,degree,21055854,100,300,0.03,3,0.3,0.15,50,1.0,13,0.0,0.0
20869,small_world,uniform,degree,21056863,100,300,0.03,3,0.3,0.15,50,1.0,11,0.0,0.0
20870,small_world,uniform,degree,21057872,100,300,0.03,3,0.3,0.15,50,1.0,15,0.0,0.0
20871,small_world,uniform,degree,21058881,100,300,0.03,3,0.3,0.15,50,1.0,12,0.0,0.0
20872,small_world,uniform,degree,21059890,100,300,0.03,3,0.3,0.15,50,0.59,13,0.24,0.1904307600768985
20873,small_world,uniform,degree,21060899,100,300,0.03,3,0.3,0.15,50,1.0,14,0.0,0.0
20874,small_world,uniform,degree,21061908,100,300,0.03,3,0.3,0.15,50,1.0,12,0.0,0.0
20875,small_world,uniform,degree,21062917,100,300,0.03,3,0.3,0.15,50,1.0,15,0.0,0.0
20876,small_world,uniform,degree,21063926,100,300,0.03,3,0.3,0.15,50,1.0,8,0.0,0.0
20877,small_world,uniform,degree,21064935,100,300,0.03,3,0.3,0.15,50,0.94,13,0.0,0.002945471722269377
20878,small_world,uniform,degree,21065944,100,300,0.03,3,0.3,0.15,50,1.0,15,0.0,0.0
20879,small_world,uniform,degree,21066953,100,300,0.03,3,0.3,0.15,50,1.0,15,0.0,0.0
20880,small_world,uniform,degree,21067962,100,300,0.03,3,0.3,0.15,50,1.0,18,0.0,0.0
20881,small_world,uniform,degree,21068971,100,300,0.03,3,0.3,0.15,50,1.0,22,0.0,0.0
20882,small_world,uniform,degree,21069980,100,300,0.03,3,0.3,0.15,50,1.0,17,0.0,0.0
20883,small_world,uniform,degree,21070989,100,300,0.03,3,0.3,0.15,50,1.0,9,0.0,0.0
